"","ORF","GENENAME"
"4548","PF3D7_0521000","conserved Plasmodium protein, unknown function"
"4549","PF3D7_0521100","conserved Plasmodium protein, unknown function"
"4550","PF3D7_0521200","conserved Plasmodium protein, unknown function"
"4551","PF3D7_0521300","conserved Plasmodium protein, unknown function"
"4552","PF3D7_0521400","conserved Plasmodium protein, unknown function"
"4553","PF3D7_0521500","ribosomal large subunit pseudouridylate synthase, putative"
"4554","PF3D7_0521600","conserved Plasmodium protein, unknown function"
"4555","PF3D7_0521700","DEAD/DEAH box ATP-dependent RNA helicase, putative"
"4556","PF3D7_0521800","nucleotide binding protein, putative"
"4557","PF3D7_0521900","conserved Plasmodium protein, unknown function"
"4558","PF3D7_0522000","conserved Plasmodium protein, unknown function"
"4559","PF3D7_0522100","conserved Plasmodium protein, unknown function"
"4560","PF3D7_0522200","transcription initiation factor TFIID subunit 10, putative (TAF10)"
"4561","PF3D7_0522300","S-adenosylmethionine-dependent methyltransferase, putative"
"4562","PF3D7_0522400","conserved Plasmodium protein, unknown function"
"4563","PF3D7_0522500","50S ribosomal protein L17, apicoplast, putative (RPL17)"
"4564","PF3D7_0522600","inner membrane complex protein"
"4565","PF3D7_0522700","iron-sulfur assembly protein, putative (SufA)"
"4566","PF3D7_0522800","G10 protein, putative"
"4567","PF3D7_0522900","zinc finger protein, putative"
"4568","PF3D7_0523000","multidrug resistance protein 1 (MDR1)"
"4569","PF3D7_0523100","mitochondrial processing peptidase alpha subunit, putative"
"4570","PF3D7_0523200","conserved Plasmodium protein, unknown function"
"4571","PF3D7_0523300","conserved Plasmodium protein, unknown function"
"4572","PF3D7_0523400","DnaJ protein, putative"
"4573","PF3D7_0523500","outer arm dynein lc3, putative"
"4574","PF3D7_0523600","conserved Plasmodium protein, unknown function"
"4575","PF3D7_0523700","conserved Plasmodium membrane protein, unknown function"
"4576","PF3D7_0523800","transporter, putative"
"4577","PF3D7_0523900","conserved Plasmodium membrane protein, unknown function"
"4578","PF3D7_0524000","karyopherin beta (KASbeta)"
"4579","PF3D7_0524100","conserved Plasmodium protein, unknown function"
"4580","PF3D7_0524200","conserved Plasmodium membrane protein, unknown function"
"4581","PF3D7_0524300","conserved Plasmodium protein, unknown function"
"4582","PF3D7_0524400","cytosolic preribosomal GTP-binding protein, putative"
"4583","PF3D7_0524500","conserved Plasmodium protein, unknown function"
"4584","PF3D7_0524600","50S ribosomal protein L12, apicoplast, putative"
"4585","PF3D7_0524700","mitochondrial import receptor subunit TOM22, putative (TOM22)"
"4586","PF3D7_0524800","ubiquitin fusion degradation protein UFD1, putative"
"4587","PF3D7_0524900","tRNA-YW synthesizing protein, putative"
"4588","PF3D7_0525000","zinc finger protein, putative"
"4589","PF3D7_0525100","acyl-CoA synthetase (ACS10)"
"4590","PF3D7_0525200","conserved Plasmodium protein, unknown function"
"4591","PF3D7_0525300","conserved Plasmodium protein, unknown function"
"4592","PF3D7_0525400","G-protein coupled receptor, putative"
"4593","PF3D7_0525500","WD repeat-containing protein, putative"
"4594","PF3D7_0525600","RNA methyltransferase, putative"
"4595","PF3D7_0525700","conserved Plasmodium protein, unknown function"
"4596","PF3D7_0525800","inner membrane complex protein 1g, putative (IMC1g)"
"4597","PF3D7_0525900","NIMA related kinase 2 (NEK2)"
"4598","PF3D7_0526000","RAP protein, putative"
"4599","PF3D7_0526100","conserved Plasmodium membrane protein, unknown function"
"4600","PF3D7_0526300","nucleolar Jumonji domain interacting protein, putative"
"4601","PF3D7_0526400","conserved Plasmodium protein, unknown function"
"4602","PF3D7_0526500","conserved Plasmodium protein, unknown function"
"4603","PF3D7_0526600","conserved Plasmodium protein, unknown function"
"4604","PF3D7_0526700","conserved Plasmodium protein, unknown function"
"4605","PF3D7_0526800","conserved Plasmodium protein, unknown function"
"4606","PF3D7_0526900","transmembrane emp24 domain-containing protein, putative"
"4607","PF3D7_0527000","DNA replication licensing factor MCM3, putative (MCM3)"
"4608","PF3D7_0527100","ubiquitin-conjugating enzyme E2 N, putative (UBC13)"
"4609","PF3D7_0527200","ubiquitin carboxyl-terminal hydrolase 14, putative (USP14)"
"4610","PF3D7_0527300","methionine aminopeptidase 1a, putative (METAP1a)"
"4611","PF3D7_0527400","conserved Plasmodium protein, unknown function"
"4612","PF3D7_0527500","Hsc70-interacting protein (HIP)"
"4613","PF3D7_0527600","conserved Plasmodium protein, unknown function"
"4614","PF3D7_0527700","tRNA Glutamic acid"
"4615","PF3D7_0527800","tRNA Leucine"
"4616","PF3D7_0527900","RNA helicase 1"
"4617","PF3D7_0528000","proteasome maturation factor UMP1, putative (UMP1)"
"4618","PF3D7_0528100","AP-1 complex subunit beta, putative"
"4619","PF3D7_0528200","eukaryotic translation initiation factor 3 subunit E, putative (EIF3E)"
"4620","PF3D7_0528300","conserved Plasmodium protein, unknown function"
"4621","PF3D7_0528400","palmitoyltransferase (DHHC7)"
"4622","PF3D7_0528500","F-actin-capping protein subunit alpha, putative (CPalpha)"
"4623","PF3D7_0528600","conserved Plasmodium protein, unknown function"
"4624","PF3D7_0528700","peptidyl-prolyl cis-trans isomerase (CYP23)"
"4625","PF3D7_0528800","nucleolar preribosomal GTPase, putative"
"4626","PF3D7_0528900","conserved Plasmodium protein, unknown function"
"4627","PF3D7_0529000","conserved Plasmodium protein, unknown function"
"4628","PF3D7_0529100","conserved Plasmodium protein, unknown function"
"4629","PF3D7_0529200","sugar transporter, putative"
"4630","PF3D7_0529300","apicoplast TIC22 protein (TIC22)"
"4631","PF3D7_0529400.1","conserved Plasmodium protein, unknown function"
"4632","PF3D7_0529500","cell cycle regulator protein, putative"
"4633","PF3D7_0529600","tRNA Arginine"
"4634","PF3D7_0529700","conserved Plasmodium protein, unknown function"
"4635","PF3D7_0529800","conserved Plasmodium protein, unknown function"
"4636","PF3D7_0529900","RING zinc finger protein, putative"
"4637","PF3D7_0530000","conserved Plasmodium protein, unknown function"
"4638","PF3D7_0530100","SNARE protein, putative (SYN6)"
"4639","PF3D7_0530200","phosphoenolpyruvate/phosphate translocator (PPT)"
"4640","PF3D7_0530300","conserved Plasmodium membrane protein, unknown function"
"4641","PF3D7_0530400","conserved Plasmodium protein, unknown function"
"4642","PF3D7_0530500","conserved Plasmodium membrane protein, unknown function"
"4643","PF3D7_0530600","XAP-5 DNA binding protein, putative"
"4644","PF3D7_0530700","conserved Plasmodium protein, unknown function"
"4645","PF3D7_0530750",NA
"4646","PF3D7_0530800","CPW-WPC family protein"
"4647","PF3D7_0530900","formin 1"
"4648","PF3D7_0531000","conserved Plasmodium protein, unknown function"
"4649","PF3D7_0531100","conserved Plasmodium protein, unknown function"
"4650","PF3D7_0531200","mitochondrial ribosomal protein S16 precursor, putative"
"4651","PF3D7_0531300","conserved Plasmodium protein, unknown function"
"4652","PF3D7_0531400","conserved Plasmodium protein, unknown function"
"4653","PF3D7_0531500","unspecified product"
"4654","PF3D7_0531600","18S ribosomal RNA"
"4655","PF3D7_0531700","unspecified product"
"4656","PF3D7_0531800","5.8S ribosomal RNA"
"4657","PF3D7_0531900","unspecified product"
"4658","PF3D7_0532000","28S ribosomal RNA"
"4659","PF3D7_0532100","early transcribed membrane protein 5 (ETRAMP5)"
"4660","PF3D7_0532200","Plasmodium exported protein (PHISTc), unknown function"
"4661","PF3D7_0532300","Plasmodium exported protein (PHISTb), unknown function"
"4662","PF3D7_0532400","lysine-rich membrane-associated PHISTb protein (LyMP)"
"4663","PF3D7_0532500","Plasmodium exported protein, unknown function"
"4664","PF3D7_0532600","Plasmodium exported protein, unknown function"
"4665","PF3D7_0532700","erythrocyte membrane protein 1 (PfEMP1), pseudogene (VAR)"
"4666","PF3D7_0532800","stevor, pseudogene"
"4667","PF3D7_0532900","rifin (RIF)"
"4668","PF3D7_0533000","rifin, pseudogene (RIF)"
"4669","PF3D7_0533100","erythrocyte membrane protein 1 (PfEMP1), truncated, pseudogene (VAR1CSA)"
"4670","PF3D7_0400100","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"4671","PF3D7_0400200","erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene"
"4672","PF3D7_0400300","rifin (RIF)"
"4673","PF3D7_0400400","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"4674","PF3D7_0400500","rifin (RIF)"
"4675","PF3D7_0400600","erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene"
"4676","PF3D7_0400700","rifin (RIF)"
"4677","PF3D7_0400800","stevor"
"4678","PF3D7_0400900","rifin (RIF)"
"4679","PF3D7_0401000","rifin (RIF)"
"4680","PF3D7_0401100","Plasmodium exported protein, unknown function, fragment"
"4681","PF3D7_0401200","rifin (RIF)"
"4682","PF3D7_0401300","rifin (RIF)"
"4683","PF3D7_0401400","rifin (RIF)"
"4684","PF3D7_0401500","stevor, pseudogene"
"4685","PF3D7_0401700","Plasmodium exported protein, unknown function, pseudogene"
"4686","PF3D7_0401800","Plasmodium exported protein (PHISTb), unknown function (PfD80)"
"4687","PF3D7_0401900","acyl-CoA synthetase (ACS6)"
"4688","PF3D7_0402000","Plasmodium exported protein (PHISTa), unknown function"
"4689","PF3D7_0402100","Plasmodium exported protein (PHISTb), unknown function"
"4690","PF3D7_0402200","surface-associated interspersed protein 4.1 (SURFIN 4.1), pseudogene (SURF4.1)"
"4691","PF3D7_0402300","reticulocyte binding protein homologue 1 (RH1)"
"4692","PF3D7_0402400","Plasmodium exported protein, unknown function (GEXP18)"
"4693","PF3D7_0402500","rifin, pseudogene (RIF)"
"4694","PF3D7_0402600","stevor"
"4695","PF3D7_0402700","rifin, pseudogene (RIF)"
"4696","PF3D7_0402800","erythrocyte membrane protein 1 (PfEMP1), pseudogene"
"4697","PF3D7_0402900","probable protein, unknown function"
"4698","PF3D7_0403000","tRNA Asparagine"
"4699","PF3D7_0403100","regulator of chromosome condensation, putative"
"4700","PF3D7_0403200","conserved Plasmodium protein, unknown function"
"4701","PF3D7_0403300","conserved Plasmodium protein, unknown function"
"4702","PF3D7_0403400","conserved Plasmodium protein, unknown function"
"4703","PF3D7_0403500","ubiquitin specific protease, putative"
"4704","PF3D7_0403600","conserved Plasmodium protein, unknown function"
"4705","PF3D7_0403700","CGI-201 protein, short form"
"4706","PF3D7_0403800","alpha/beta hydrolase, putative"
"4707","PF3D7_0403900","SET domain protein, putative (SET8)"
"4708","PF3D7_0404000","conserved Plasmodium protein, unknown function"
"4709","PF3D7_0404100","transcription factor with AP2 domain(s), putative (ApiAP2)"
"4710","PF3D7_0404200","conserved Plasmodium protein, unknown function"
"4711","PF3D7_0404300","conserved Plasmodium protein, unknown function"
"4712","PF3D7_0404400","6-cysteine protein (P36)"
"4713","PF3D7_0404500","6-cysteine protein (P52)"
"4714","PF3D7_0404600","conserved Plasmodium membrane protein, unknown function"
"4715","PF3D7_0404700","dipeptidyl aminopeptidase 3 (DPAP3)"
"4716","PF3D7_0404800","conserved Plasmodium protein, unknown function"
"4717","PF3D7_0404900","6-cysteine protein (P41)"
"4718","PF3D7_0405000","ATP-dependent RNA helicase, putative"
"4719","PF3D7_0405100","protein transport protein Sec24B (SEC24B)"
"4720","PF3D7_0405200","ag-1 blood stage membrane protein homologue (MAg-1)"
"4721","PF3D7_0405300","6-cysteine protein (LISP2)"
"4722","PF3D7_0405400","pre-mRNA-processing-splicing factor 8, putative (PRPF8)"
"4723","PF3D7_0405500","conserved Plasmodium protein, unknown function"
"4724","PF3D7_0405600","conserved Plasmodium membrane protein, unknown function"
"4725","PF3D7_0405700","lysine decarboxylase, putative"
"4726","PF3D7_0405800","conserved Plasmodium protein, unknown function"
"4727","PF3D7_0405900","apical sushi protein (ASP)"
"4728","PF3D7_0406000","conserved Plasmodium protein, unknown function"
"4729","PF3D7_0406100","V-type proton ATPase subunit B"
"4730","PF3D7_0406200","sexual stage-specific protein precursor (Pfs16)"
"4731","PF3D7_0406400","cytosolic glyoxalase II (cGloII)"
"4732","PF3D7_0406500","conserved Plasmodium protein, unknown function"
"4733","PF3D7_0406600","conserved Plasmodium protein, unknown function"
"4734","PF3D7_0406700","conserved Plasmodium protein, unknown function"
"4735","PF3D7_0406800","conserved Plasmodium protein, unknown function"
"4736","PF3D7_0406900","conserved Plasmodium protein, unknown function"
"4737","PF3D7_0407000","conserved Plasmodium protein, unknown function"
"4738","PF3D7_0407100","methyltransferase, putative"
"4739","PF3D7_0407200","peptidyl-tRNA hydrolase 2, putative (PTH2)"
"4740","PF3D7_0407300","transcription factor, putative"
"4741","PF3D7_0407400","conserved Plasmodium protein, unknown function"
"4742","PF3D7_0407500","mitochondrial carrier protein, putative"
"4743","PF3D7_0407600","conserved Plasmodium protein, unknown function"
"4744","PF3D7_0407700","conserved Plasmodium protein, unknown function"
"4745","PF3D7_0407800","conserved Plasmodium protein, unknown function"
"4746","PF3D7_0407900","AAA family ATPase, putative"
"4747","PF3D7_0408000","conserved Plasmodium protein, unknown function"
"4748","PF3D7_0408100","conserved Plasmodium protein, unknown function"
"4749","PF3D7_0408200","conserved Plasmodium protein, unknown function"
"4750","PF3D7_0408300","zinc finger, RAN binding protein, putative"
"4751","PF3D7_0408400","conserved Plasmodium protein, unknown function"
"4752","PF3D7_0408500","flap endonuclease 1 (FEN1)"
"4753","PF3D7_0408600","sporozoite invasion-associated protein 1 (SIAP1)"
"4754","PF3D7_0408700","sporozoite micronemal protein essential for cell traversal (PLP1)"
"4755","PF3D7_0408800","conserved Plasmodium protein, unknown function"
"4756","PF3D7_0409000","conserved Plasmodium protein, unknown function"
"4757","PF3D7_0409100","U4/U6 small nuclear ribonucleoprotein PRP31, putative (PRPF31)"
"4758","PF3D7_0409200","protein SOF1, putative (SOF1)"
"4759","PF3D7_0409300","conserved Plasmodium protein, unknown function"
"4760","PF3D7_0409400","heat shock protein 40 (DnaJ)"
"4761","PF3D7_0409500","conserved Plasmodium protein, unknown function"
"4762","PF3D7_0409600","replication protein A1, large subunit (RPA1)"
"4763","PF3D7_0409700","peptide chain release factor 2, putative"
"4764","PF3D7_0409800","zinc finger protein, putative"
"4765","PF3D7_0409900","actin-like protein, putative (ALP5b)"
"4766","PF3D7_0410000","erythrocyte vesicle protein 1 (EVP1)"
"4767","PF3D7_0410100","tRNA Serine"
"4768","PF3D7_0410200","tRNA Isoleucine"
"4769","PF3D7_0410300","protein phosphatase PPM1, putative (PPM1)"
"4770","PF3D7_0410400","exosome complex component RRP4, putative (RRP4)"
"4771","PF3D7_0410500","conserved Plasmodium protein, unknown function"
"4772","PF3D7_0410600","conserved Plasmodium protein, unknown function"
"4773","PF3D7_0410700","ribosome biogenesis GTPase A, putative (RbgA)"
"4774","PF3D7_0410800","conserved Plasmodium protein, unknown function"
"4775","PF3D7_0410900","conserved Plasmodium protein, unknown function"
"4776","PF3D7_0411000","conserved Plasmodium protein, unknown function"
"4777","PF3D7_0411100","conserved Plasmodium protein, unknown function"
"4778","PF3D7_0411200","conserved Plasmodium protein, unknown function"
"4779","PF3D7_0411300","conserved Plasmodium protein, unknown function"
"4780","PF3D7_0411400","DEAD box ATP-dependent RNA helicase, putative"
"4781","PF3D7_0411500","tRNA Alanine"
"4782","PF3D7_0411600","tRNA Glutamic acid"
"4783","PF3D7_0411700","conserved Plasmodium protein, unknown function"
"4784","PF3D7_0411800","conserved Plasmodium protein, unknown function"
"4785","PF3D7_0411900","DNA polymerase alpha"
"4786","PF3D7_0412000","conserved Plasmodium protein, unknown function"
"4787","PF3D7_0412100","mitochondrial ribosomal protein S12 precursor, putative"
"4788","PF3D7_0412200","conserved Plasmodium protein, unknown function"
"4789","PF3D7_0412300","phosphopantothenoylcysteine synthetase, putative"
"4790","PF3D7_0412400","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"4791","PF3D7_0412500","Plasmodium RNA of unknown function RUF6-3"
"4792","PF3D7_0412600","rifin, pseudogene (RIF)"
"4793","PF3D7_0412700","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"4794","PF3D7_0412800","Plasmodium RNA of unknown function"
"4795","PF3D7_0412900","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"4796","PF3D7_0413000","Plasmodium RNA of unknown function RUF6-8"
"4797","PF3D7_0413100","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"4798","PF3D7_0413200","rifin (RIF)"
"4799","PF3D7_0413300","rifin (RIF)"
"4800","PF3D7_0413400","erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene (VAR)"
"4801","PF3D7_0413500","phosphoglucomutase-2 (PGM2)"
"4802","PF3D7_0413600","26S protease regulatory subunit 6B, putative (RPT3)"
"4803","PF3D7_0413700","lysine decarboxylase-like protein, putative"
"4804","PF3D7_0413800","50S ribosomal protein L10, putative"
"4805","PF3D7_0413900","ubiquitin carboxyl-terminal hydrolase 13, putative (USP13)"
"4806","PF3D7_0414000","chromosome associated protein, putative"
"4807","PF3D7_0414100","conserved Plasmodium membrane protein, unknown function"
"4808","PF3D7_0414300","Rab5-interacting protein, putative"
"4809","PF3D7_0414400","conserved Plasmodium protein, unknown function"
"4810","PF3D7_0414500","RNA-binding protein, putative"
"4811","PF3D7_0414600","conserved protein, unknown function"
"4812","PF3D7_0414700","GTP-binding protein, putative"
"4813","PF3D7_0414800","conserved Plasmodium protein, unknown function"
"4814","PF3D7_0414900","armadillo-domain containing rhoptry protein (ARO)"
"4815","PF3D7_0415000","arsenical pump-driving ATPase, putative"
"4816","PF3D7_0415100","conserved Plasmodium protein, unknown function"
"4817","PF3D7_0415200","conserved Plasmodium protein, unknown function"
"4818","PF3D7_0415300","cdc2-related protein kinase 3 (CRK3)"
"4819","PF3D7_0415400","coatomer subunit zeta, putative"
"4820","PF3D7_0415500","nuclear cap-binding protein, putative"
"4821","PF3D7_0415600","GTP:AMP phosphotransferase (GAK)"
"4822","PF3D7_0415700","conserved Plasmodium protein, unknown function"
"4823","PF3D7_0415800","RING zinc finger protein, putative"
"4824","PF3D7_0415900","60S ribosomal protein L15, putative"
"4825","PF3D7_0416000","RNA-binding protein, putative"
"4826","PF3D7_0416100","glutamyl-tRNA(Gln) amidotransferase subunit A, putative"
"4827","PF3D7_0416200","conserved protein, unknown function"
"4828","PF3D7_0416300","DNA helicase MCM9, putative (MCM9)"
"4829","PF3D7_0416400","histone acetyltransferase, putative (HAT1)"
"4830","PF3D7_0416500","repressor of RNA polymerase III transcription MAF1, putative"
"4831","PF3D7_0416600","prohibitin-like protein, putative"
"4832","PF3D7_0416700","CDGSH iron-sulfur domain-containing protein, putative"
"4833","PF3D7_0416800","small GTP-binding protein sar1 (SAR1)"
"4834","PF3D7_0416900","conserved Plasmodium protein, unknown function"
"4835","PF3D7_0417000","conserved Plasmodium protein, unknown function"
"4836","PF3D7_0417100","mRNA-binding protein PUF2 (PUF2)"
"4837","PF3D7_0417200","bifunctional dihydrofolate reductase-thymidylate synthase (DHFR-TS)"
"4838","PF3D7_0417300","LETM1-like protein, putative"
"4839","PF3D7_0417400","conserved Plasmodium protein, unknown function"
"4840","PF3D7_0417500.1",NA
"4841","PF3D7_0417600","conserved Plasmodium protein, unknown function"
"4842","PF3D7_0417700","conserved Plasmodium protein, unknown function"
"4843","PF3D7_0417800","cdc2-related protein kinase 1 (CRK1)"
"4844","PF3D7_0417900","conserved Plasmodium protein, unknown function"
"4845","PF3D7_0418000","conserved Plasmodium protein, unknown function"
"4846","PF3D7_0418100","conserved Plasmodium protein, unknown function"
"4847","PF3D7_0418200","eukaryotic translation initiation factor 3 subunit M, putative (EIF3M)"
"4848","PF3D7_0418300","conserved Plasmodium protein, unknown function"
"4849","PF3D7_0418400","conserved Plasmodium protein, unknown function"
"4850","PF3D7_0418500","trafficking protein particle complex subunit 3, putative (BET3)"
"4851","PF3D7_0418600","regulator of chromosome condensation, putative"
"4852","PF3D7_0418700","RNA-binding protein NOB1, putative"
"4853","PF3D7_0418800","conserved Plasmodium protein, unknown function"
"4854","PF3D7_0418900","conserved Plasmodium protein, unknown function"
"4855","PF3D7_0419000","conserved Plasmodium protein, unknown function"
"4856","PF3D7_0419100","conserved Plasmodium protein, unknown function"
"4857","PF3D7_0419200","CGI-141 protein homolog, putative"
"4858","PF3D7_0419300","conserved Plasmodium protein, unknown function"
"4859","PF3D7_0419400","conserved Plasmodium protein, unknown function"
"4860","PF3D7_0419500","conserved Plasmodium membrane protein, unknown function"
"4861","PF3D7_0419600","ran binding protein 1, putative"
"4862","PF3D7_0419700","apical merozoite protein (Pf34)"
"4863","PF3D7_0419800","60S ribosomal protein L7ae/L30e, putative"
"4864","PF3D7_0419900","phosphatidylinositol 4-kinase, putative"
"4865","PF3D7_0420000","zinc finger protein, putative"
"4866","PF3D7_0420100","serine/threonine protein kinase RIO2 (RIO2)"
"4867","PF3D7_0420200","holo-[acyl-carrier-protein] synthase, putative (ACPS)"
"4868","PF3D7_0420300","transcription factor with AP2 domain(s) (ApiAP2)"
"4869","PF3D7_0420400","ribosome-recycling factor (RRF2)"
"4870","PF3D7_0420500","conserved Plasmodium protein, unknown function"
"4871","PF3D7_0420600","conserved Plasmodium protein, unknown function"
"4872","PF3D7_0420700","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"4873","PF3D7_0420800","Plasmodium RNA of unknown function RUF6"
"4874","PF3D7_0420900","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"4875","PF3D7_0421000","unspecified product"
"4876","PF3D7_0421100","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"4877","PF3D7_0421200","rifin (RIF)"
"4878","PF3D7_0421300","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"4879","PF3D7_0421400","Plasmodium RNA of unknown function RUF6-5"
"4880","PF3D7_0421500","rifin, pseudogene (RIF)"
"4881","PF3D7_0421600","erythrocyte membrane protein 1 (PfEMP1)-like pseudogene (VAR)"
"4882","PF3D7_0421700","conserved Plasmodium protein, unknown function"
"4883","PF3D7_0421800","conserved Plasmodium protein, unknown function"
"4884","PF3D7_0422000","steroid dehydrogenase, putative"
"4885","PF3D7_0422100","transmembrane emp24 domain-containing protein, putative"
"4886","PF3D7_0422200","erythrocyte membrane-associated antigen"
"4887","PF3D7_0422300","alpha tubulin 2"
"4888","PF3D7_0422400","40S ribosomal protein S19 (RPS19)"
"4889","PF3D7_0422500","pre-mRNA-splicing helicase BRR2, putative (BRR2)"
"4890","PF3D7_0422600","conserved Plasmodium protein, unknown function"
"4891","PF3D7_0422700","eukaryotic initiation factor, putative"
"4892","PF3D7_0422800","serpentine receptor, putative (SR12)"
"4893","PF3D7_0422900","conserved Plasmodium protein, unknown function"
"4894","PF3D7_0423000","conserved Plasmodium protein, unknown function"
"4895","PF3D7_0423100","AP-4 complex subunit sigma, putative"
"4896","PF3D7_0423200","BSD-domain protein, putative"
"4897","PF3D7_0423300","conserved Plasmodium protein, unknown function"
"4898","PF3D7_0423400","asparagine-rich protein (AARP)"
"4899","PF3D7_0423500","glideosome associated protein with multiple membrane spans 2 (GAPM2)"
"4900","PF3D7_0423600","conserved Plasmodium protein, unknown function"
"4901","PF3D7_0423700","early transcribed membrane protein 4 (ETRAMP4)"
"4902","PF3D7_0423800","cysteine-rich protective antigen (CyRPA)"
"4903","PF3D7_0423900","probable protein, unknown function"
"4904","PF3D7_0424000","Plasmodium exported protein (PHISTc), unknown function"
"4905","PF3D7_0424100","reticulocyte binding protein homologue 5 (RH5)"
"4906","PF3D7_0424200","reticulocyte binding protein homologue 4 (RH4)"
"4907","PF3D7_0424300","erythrocyte binding antigen-165, pseudogene (EBA165)"
"4908","PF3D7_0424400","surface-associated interspersed protein 4.2 (SURFIN 4.2) (SURF4.2)"
"4909","PF3D7_0424500","serine/threonine protein kinase, FIKK family (FIKK4.1)"
"4910","PF3D7_0424600","Plasmodium exported protein (PHISTb), unknown function"
"4911","PF3D7_0424700","serine/threonine protein kinase, FIKK family (FIKK4.2)"
"4912","PF3D7_0424800","Plasmodium exported protein (PHISTb), unknown function"
"4913","PF3D7_0424900","Plasmodium exported protein (PHISTa), unknown function"
"4914","PF3D7_0425000","Plasmodium exported protein, unknown function, pseudogene"
"4915","PF3D7_0425100","Plasmodium exported protein (hyp6), unknown function"
"4916","PF3D7_0425200","Plasmodium exported protein (hyp15), unknown function"
"4917","PF3D7_0425300","Plasmodium exported protein (PHISTa), unknown function, pseudogene"
"4918","PF3D7_0425400","Plasmodium exported protein (PHISTa), unknown function"
"4919","PF3D7_0425500","stevor"
"4920","PF3D7_0425600","rifin, pseudogene (RIF)"
"4921","PF3D7_0425700","rifin (RIF)"
"4922","PF3D7_0425800","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"4923","PF3D7_0425900","rifin (RIF)"
"4924","PF3D7_0426000","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"4925","PF3D7_0300100","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"4926","PF3D7_0300200","rifin (RIF)"
"4927","PF3D7_0300300","erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)"
"4928","PF3D7_0300400","stevor"
"4929","PF3D7_0300500","rifin (RIF)"
"4930","PF3D7_0300600","Plasmodium exported protein, unknown function, fragment"
"4931","PF3D7_0300700","rifin (RIF)"
"4932","PF3D7_0300800","rifin (RIF)"
"4933","PF3D7_0300900","stevor-like"
"4934","PF3D7_0301000","acyl-CoA synthetase (ACS2)"
"4935","PF3D7_0301100","Plasmodium exported protein (hyp13), unknown function"
"4936","PF3D7_0301200","serine/threonine protein kinase, FIKK family (FIKK3)"
"4937","PF3D7_0301300","alpha/beta hydrolase, putative"
"4938","PF3D7_0301400","Plasmodium exported protein, unknown function"
"4939","PF3D7_0301500","Plasmodium exported protein, unknown function"
"4940","PF3D7_0301600","Plasmodium exported protein (hyp1), unknown function (GEXP21)"
"4941","PF3D7_0301700","Plasmodium exported protein, unknown function"
"4942","PF3D7_0301800","Plasmodium exported protein, unknown function"
"4943","PF3D7_0301900","conserved Plasmodium protein, unknown function"
"4944","PF3D7_0302000","pre-mRNA-splicing factor PRP46, putative (PRP46)"
"4945","PF3D7_0302100","serine/threonine protein kinase (SRPK1)"
"4946","PF3D7_0302200","cytoadherence linked asexual protein 3.2 (CLAG3.2)"
"4947","PF3D7_0302300","erythrocyte membrane protein 1 (PfEMP1), pseudogene"
"4948","PF3D7_0302400","unspecified product"
"4949","PF3D7_0302500","cytoadherence linked asexual protein 3.1 (CLAG3.1)"
"4950","PF3D7_0302600","ABC transporter B family member 4, putative (ABCB4)"
"4951","PF3D7_0302700","CDGSH iron-sulfur domain-containing protein, putative"
"4952","PF3D7_0302800","conserved Plasmodium protein, unknown function"
"4953","PF3D7_0302900","exportin-1, putative"
"4954","PF3D7_0303000","N-ethylmaleimide-sensitive fusion protein (NSF)"
"4955","PF3D7_0303100","conserved Plasmodium protein, unknown function"
"4956","PF3D7_0303200","HAD superfamily protein, putative"
"4957","PF3D7_0303300","DNA-directed RNA polymerase subunit I, putative"
"4958","PF3D7_0303400","palmitoyltransferase (DHHC1)"
"4959","PF3D7_0303500","spindle pole body protein, putative"
"4960","PF3D7_0303600","plasmoredoxin (Plrx)"
"4961","PF3D7_0303700","lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (BCKDH-E2)"
"4962","PF3D7_0303800","IBR domain protein, putative"
"4963","PF3D7_0303900","phosphatidylethanolamine-binding protein, putative"
"4964","PF3D7_0304000","inner membrane complex protein 1a, putative (IMC1a)"
"4965","PF3D7_0304100","inner membrane complex protein 1e, putative (IMC1e)"
"4966","PF3D7_0304200","EH (Eps15 homology) protein (PAST1)"
"4967","PF3D7_0304300","conserved Plasmodium protein, unknown function"
"4968","PF3D7_0304400.1",NA
"4969","PF3D7_0304500","1-cys-glutaredoxin-like protein-1 (GLP1)"
"4970","PF3D7_0304600","circumsporozoite (CS) protein (CSP)"
